Barangay,Evacuation Center,LongLat
Bagong Ilog,Bagong Ilog Elementary School,"14.563880283824147, 121.07116735328559"
Bambang,Bambang Gym (Bambang Boys Center),"14.554725421944502, 121.08499868396655"
Buting,Buting Covered Court (Basketball Court),"14.553592276286086, 121.06896989204259"
Kalawaan,Brgy. Kalawaan Basketball Covered Court,"14.551427394028645, 121.08656499930674"
Kalawaan,Kalawaan Ismar Multipurpose Hall,Unknown
Caniogan,Kalinangan Covered Court,"14.572363848372431, 121.0793067189496"
Palatiw,Catalina Covered Court,"14.593051744030744, 121.09084723979122"
San Nicolas,San Nicolas Covered Court,"14.562298070086245, 121.07832096703713"
Sta. Cruz,Sta. Cruz Covered Court,"14.563631230484422, 121.07896294985237"
Sta. Cruz,Liberato Damian Elementary School,"14.56335085940674, 121.07886102591883"
Sto. Tomas,Sto. Tomas Multipurpose Hall,"14.562861570062953, 121.08169525513121"
San Jose,San Jose Covered Court,"14.560887252258576, 121.07313258979102"
Bagong Katipunan,Bagong Katipunan Covered Court,"14.558941074712942, 121.07442271862601"
Sumilang,Sumilang Covered Court (Brgy. Sumilang Sports Center),"14.555386837850248, 121.07367261517541"
Ugong,Ugong Covered Court,"14.579144606319133, 121.07842906081814"
Kapitolyo,Kapitolyo Covered Court AmphiTheater,"14.57119791261617, 121.05876742032032"
Kapasigan,Kapasigan Covered Court,"14.564720299006831, 121.07403311095591"
Malionao,Malinao Covered Court,"14.557866889208354, 121.07871239746117"
Oranbo,Oranbo Elementary School,"14.575943141326762, 121.06581396862634"
Pineda,Pineda Covered Court,"14.563875360108382, 121.06109816766494"
Sagad,Sagad Covered Court,"14.566638417258188, 121.07944784163665"
San Antonio,San Antonio Covered Court (Barangay San Antonio Multi-Purpose Court),"14.577965071862499, 121.06036528396663"
San Joaquin,San Joaquin Villa Hernandez Covered Court,"14.548212435849209, 121.0807532690143"
Sta. Rosa,Sta. Rosa Covered Court,"14.559221837452423, 121.07273167271798"
Dela Paz,Dela Paz Covered Court,Unknown
Manggahan,Brgy. Manggahan Multipurpose Hall,"14.598282967776566, 121.0915804911744"
Manggahan,Napico Multipurpose Hall,"14.596034415728548, 121.09700359561565"
Manggahan,Kaalinsabay Covered Court,"14.603509140444926, 121.10159989120005"
Rosario,Rosario Elementary Gym,"14.584669095090518, 121.08379502625758"
Maybunga,Maybunga Elementary School Annex,"14.578086153332809, 121.09654035513151"
Pinagbuhatan,Pinagbuhatan Multi Purpose Hall Damayan,"14.555339692869426, 121.09138864027642"
Pinagbuhatan,Nagpayong Covered Court,Unknown
San Miguel,San Miguel Covered Court (San Miguel Barangay Hall),"14.565647509225936, 121.08542353112227"
Sta. Lucia,Sta. Lucia Bliss Covered Court,"14.57905823736005, 121.1012090686262"
Santolan,Santolan Ilaya Multipurpose Hall,"14.616871981102815, 121.0816928704722"
